RRT:

	plan time1: 0.418812 seconds
	Translation: [0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.234, 0.579, -0.150
	0.323, 0.515, -0.180
	0.403, 0.441, -0.192
	0.475, 0.353, -0.188
	0.534, 0.255, -0.168
	0.579, 0.152, -0.132
	0.608, 0.045, -0.078
	0.621, -0.060, -0.008
	0.620, -0.156, 0.079
	0.606, -0.240, 0.183
	0.582, -0.302, 0.299
	0.555, -0.339, 0.421
	0.528, -0.349, 0.543
	0.509, -0.332, 0.657
	0.500, -0.293, 0.754
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812


	plan time2: 0.511562 seconds
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.223, 0.586, -0.145
	0.311, 0.525, -0.177
	0.396, 0.448, -0.192
	0.469, 0.361, -0.189
	0.530, 0.265, -0.171
	0.576, 0.161, -0.136
	0.606, 0.055, -0.084
	0.621, -0.050, -0.015
	0.621, -0.148, 0.071
	0.608, -0.232, 0.172
	0.585, -0.298, 0.288
	0.557, -0.337, 0.410
	0.531, -0.349, 0.531
	0.510, -0.335, 0.646
	0.501, -0.298, 0.746
	0.503, -0.255, 0.811
	0.504, -0.255, 0.812
	0.504, -0.255, 0.812


	plantime3: 1.598278
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.222, 0.587, -0.145
	0.311, 0.525, -0.177
	0.395, 0.449, -0.192
	0.468, 0.363, -0.190
	0.529, 0.266, -0.171
	0.575, 0.164, -0.137
	0.606, 0.056, -0.085
	0.621, -0.049, -0.016
	0.621, -0.147, 0.070
	0.608, -0.232, 0.172
	0.585, -0.297, 0.286
	0.558, -0.337, 0.409
	0.531, -0.349, 0.529
	0.510, -0.335, 0.646
	0.501, -0.298, 0.745
	0.503, -0.255, 0.811
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812

	plantime4: 0.502096
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.503, -0.255, 0.812
	0.501, -0.280, 0.777
	0.505, -0.323, 0.686
	0.522, -0.347, 0.577
	0.546, -0.346, 0.461
	0.574, -0.317, 0.338
	0.599, -0.263, 0.219
	0.616, -0.185, 0.112
	0.622, -0.092, 0.019
	0.614, 0.011, -0.057
	0.590, 0.117, -0.116
	0.549, 0.226, -0.159
	0.496, 0.322, -0.184
	0.428, 0.413, -0.193
	0.348, 0.494, -0.185
	0.260, 0.562, -0.161
	0.186, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127

	plantime5: 1.592499
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.185, 0.608, -0.127
	0.220, 0.588, -0.144
	0.310, 0.526, -0.176
	0.393, 0.451, -0.191
	0.467, 0.364, -0.190
	0.528, 0.268, -0.171
	0.574, 0.166, -0.137
	0.605, 0.060, -0.087
	0.620, -0.047, -0.017
	0.621, -0.146, 0.068
	0.608, -0.231, 0.170
	0.586, -0.296, 0.284
	0.559, -0.336, 0.404
	0.531, -0.349, 0.529
	0.510, -0.335, 0.644
	0.501, -0.299, 0.743
	0.503, -0.256, 0.811
	0.503, -0.255, 0.812

